[05Dec2024 00:11:43.954] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=421, y=58, z=-27} BlockPos{x=421, y=59, z=-26}
[05Dec2024 00:17:23.133] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.186] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.239] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.290] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.347] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.380] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.433] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.487] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.537] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.604] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.652] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.683] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.737] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.790] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.850] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.899] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.933] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.984] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:24.034] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:24.088] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:19:50.047] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=910, y=32, z=-87} BlockPos{x=910, y=32, z=-86}
[05Dec2024 00:19:50.103] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=910, y=32, z=-88} BlockPos{x=910, y=32, z=-86}
[05Dec2024 00:21:11.706] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=42, z=-100} BlockPos{x=899, y=42, z=-100}
[05Dec2024 00:21:11.770] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=42, z=-100} BlockPos{x=899, y=42, z=-100}
[05Dec2024 00:21:11.807] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=42, z=-101} BlockPos{x=899, y=42, z=-100}
[05Dec2024 00:21:11.859] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=41, z=-100} BlockPos{x=899, y=42, z=-100}
[05Dec2024 00:21:11.908] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=41, z=-101} BlockPos{x=899, y=42, z=-100}
[05Dec2024 00:21:11.950] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=41, z=-101} BlockPos{x=899, y=42, z=-100}
[05Dec2024 00:21:12.404] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=898, y=42, z=-103} BlockPos{x=898, y=42, z=-102}
[05Dec2024 00:21:12.463] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=898, y=42, z=-103} BlockPos{x=898, y=42, z=-102}
[05Dec2024 00:21:12.484] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=42, z=-104} BlockPos{x=898, y=42, z=-102}
[05Dec2024 00:21:12.535] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=42, z=-104} BlockPos{x=898, y=42, z=-102}
[05Dec2024 00:21:12.603] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=897, y=42, z=-103} BlockPos{x=898, y=42, z=-102}
[05Dec2024 00:21:51.212] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [crookygr: Killed 656 entities]
[05Dec2024 00:22:10.951] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=898, y=37, z=-285} BlockPos{x=898, y=38, z=-284}
[05Dec2024 00:22:12.881] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=898, y=33, z=-288} BlockPos{x=898, y=33, z=-287}
[05Dec2024 00:22:14.499] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=898, y=33, z=-288} BlockPos{x=898, y=30, z=-290}
[05Dec2024 00:22:14.535] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=898, y=33, z=-289} BlockPos{x=898, y=30, z=-290}
